Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
Insurrecto: Gina Apostol: 9781616959449: Amazon.com: Books,,,,No,,,To Acquire: Fiction,No,https://www.amazon.com/Insurrecto-Gina-Apostol/dp/1616959444,No
Inland: A Novel: Téa Obreht: 9780812992861: Amazon.com: Books,,,,No,,,To Acquire: Fiction,No,https://www.amazon.com/Inland-Novel-T%C3%A9a-Obreht/dp/0812992865,No
The White Book - Kindle edition by Han Kang. Literature & Fiction Kindle eBooks @ Amazon.com.,"https://www.amazon.com/White-Book-Han-Kang-ebook/dp/B07D6BTGZ8/ref=sr_1_1?keywords=the+white+book&qid=1551940157&s=digital-text&sr=1-1, Reading%20List/31yWRfccE7L.jpg",,Fiction,No,,,To Acquire: Fiction,No,,No
Amazon.com: The City in the Middle of the Night eBook: Charlie Jane Anders: Kindle Store,"https://www.amazon.com/City-Middle-Night-Charlie-Anders-ebook/dp/B07FJZDJ8Y, Reading%20List/51Y2BJwhPFqL.jpg",,Fiction,No,,,To Acquire: Fiction,No,,No
Everything Begins and Ends at the Kentucky Club (Benjamin Alire Saenz),,,Fiction,Yes,,,To Acquire: Fiction,No,,No
Snow Crash (Neal Stephenson),,,Fiction,No,,,To Acquire: Fiction,No,,No
Catch-22 (Joseph Heller),,,Fiction,No,,,To Acquire: Fiction,No,,No
The Idiot (Fyodor Dostoyevsky),,,Fiction,No,,,To Acquire: Fiction,No,,No
Cat's Cradle (Kurt Vonnegut),,,Fiction,No,,,To Acquire: Fiction,No,,No
Brave New World,,Aldous Huxley,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Jesus' Son (Denis Johnson),,,Fiction,No,,,To Acquire: Fiction,No,,No
Running With Lions (Julian Winters),,,Young Adult,No,,,To Acquire: Fiction,No,,No
Willful Machines (Tim Floreen),,,Young Adult,No,,,To Acquire: Fiction,No,,No
Hero (Perry Moore),,,Young Adult,No,,,To Acquire: Fiction,No,,No
"Stoner (New York Review Books Classics) - Kindle edition by John Williams, John McGahern. Literature & Fiction Kindle eBooks @ Amazon.com.","https://www.amazon.com/Stoner-York-Review-Books-Classics-ebook/dp/B003K15IF8, Reading%20List/41ScPtga3QL.jpg",,Fiction,No,,,To Acquire: Fiction,No,,No
Amazon.com: Trick Mirror: Reflections on Self-Delusion (9780525510543): Jia Tolentino: Books,"https://www.amazon.com/Trick-Mirror-Self-Delusion-Jia-Tolentino/dp/0525510540, Reading%20List/41AvgAQz8OL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty: Abhijit Banerjee, Esther Duflo: 9781610390934: Amazon.com: Books","https://www.amazon.com/Poor-Economics-Radical-Rethinking-Poverty/dp/1610390938/ref=sr_1_1?crid=3BHZZCWQMH2TX&keywords=poor+economics&qid=1552137595&s=books&sprefix=poor+economic%2Cstripbooks-intl-ship%2C354&sr=1-1, Reading%20List/51IChGaoXJL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
