Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
More Happy Than Not,,Adam Silvera,Young Adult,No,,OWNED: Singapore,Finished: 2018,No,,No
"The Information: A History, A Theory, A Flood",,James Gleick,Non-Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
Saints Of Augustine,,P.E Ryan,Young Adult,No,,EBOOK,Finished: 2015,No,,No
The Catcher In The Rye,,J.D. Salinger,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Borne,,Jeff VanderMeer,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
Call Me By Your Name,,André Aciman,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
Harry Potter and the Cursed Child,,"J.K Rowling, John Tiffany, and Jack Thorne",Young Adult,No,,OWNED: Philippines,Finished: 2016,No,,No
Aristotle and Dante Discover the Secrets of the Universe,,Benjamin Alire Sáenz,Young Adult,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Hunger Games #3: Mockingjay,,Suzanne Collins,Young Adult,No,,EBOOK,Finished: 2000-2014,Yes,,No
The Rest of Us Just Live Here,,Patrick Ness,Young Adult,No,,OWNED: Philippines,Finished: 2017,No,,No
"I Can't Date Jesus: Love, Sex, Family, Race, and Other Reasons I've Put My Faith in Beyoncé",https://www.amazon.com/Cant-Date-Jesus-Reasons-Beyonc%C3%A9-ebook/dp/B075RQGJTQ,Michael Arceneaux,Non-Fiction,Yes,,KINDLE,Finished: 2018,No,,No
Carousel Court,,Joe McGinniss Jr.,Fiction,No,,LIBRARY,Finished: 2017,Yes,,No
Telegraph Avenue,,Michael Chabon,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Hunger Games #2: Catching Fire,,Suzanne Collins,Young Adult,No,,EBOOK,Finished: 2000-2014,No,,No
Algorithms to Live By: The Computer Science of Human Decisions,,Brian Christian and Tom Griffiths,Non-Fiction,No,,LIBRARY,Finished: 2018,No,,No
Release,,Patrick Ness,Young Adult,No,,OWNED: Philippines,Finished: 2017,Yes,,No
Seeing,,Jose Saramago,Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
A Song Of Ice And Fire #5: A Dance With Dragons,,George R.R. Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Early Work,,Andrew Martin,Fiction,No,,OWNED: Singapore,Finished: 2018,Yes,,No
Tuesday Nights In 1980,,Molly Prentiss,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
The Sea Is My Brother,,Jack Kerouac,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Dharma Bums,,Jack Kerouac,Fiction,No,,EBOOK,Finished: 2000-2014,No,,No
Wandering Earth,,Cixin Liu,Fiction,Yes,,OWNED: Singapore,Finished: 2018,No,,No
More Than This,,Patrick Ness,Young Adult,No,,OWNED: Philippines,Finished: 2017,Yes,,No
"The Launch Pad: Inside Y Combinator, Silicon Valley's Most Exclusive School for Startups",,Randall E. Stross,Non-Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Power,,Naomi Alderman,Fiction,No,,LIBRARY,Finished: 2018,No,,No
The Association of Small Bombs,,Karan Mahajan,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
The Elephant Vanishes,,Haruki Murakami,Fiction,Yes,,BORROWED,Finished: 2016,Yes,,No
The Imperfectionists,,Tom Rachman,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
"The Expanse #1: Leviathan Wakes ",,James S.A. Corey,Fiction,No,,KINDLE,Finished: 2018,No,,No
The Vegetarian,,Han Kang,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
Crime And Punishment,,Fyodor Dostoyevsky,Fiction,No,,OWNED: Philippines,Finished: 2015,No,,No
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,,Pedro Domingos,Non-Fiction,No,,LIBRARY,Finished: 2018,No,,No
All The Birds In The Sky,,Charlie Jane Anders,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
The Fault In Our Stars,,John Green,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Less,,Andrew Sean Greer,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
Human Acts,,Han Kang,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
The Amazing Adventures of Kavalier and Clay,,Michael Chabon,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
American Pastoral,,Philip Roth,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
Enigma Variations,,André Aciman,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
Visions of Gerard,,Jack Kerouac,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Hard Things About Hard Things: Building a Business When There Are No Easy Answers,,Ben Horowitz,Non-Fiction,No,,LIBRARY,Finished: 2018,No,,Yes
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",,Daron Acemoglu and James Robinson,Non-Fiction,No,,OWNED: Philippines,Finished: 2017,No,,No
Grasshopper Jungle,,Andrew A. Smith,Young Adult,No,,OWNED: Philippines,Finished: 2015,No,,No
Exit West,,Mohsin Hamid,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
Simon vs. the Homo Sapiens Agenda,,Becky Albertalli,Young Adult,No,,OWNED: Philippines,Finished: 2017,No,,No
Wonder Boys,,Michael Chabon,Fiction,No,,OWNED: Philippines,Finished: 2015,No,,No
"Will Grayson, Will Grayson",,David Levithan & John Green,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
"Goodbye, Things: The New Japanese Minimalism",,Fumio Sasaki,Non-Fiction,No,,LIBRARY,Finished: 2018,No,,No
10:04,,Ben Lerner,Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
The Line of Beauty,,Alan Hollinghurst,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
Harvard Square,,André Aciman,Fiction,No,,OWNED: Philippines,Finished: 2017,Yes,,No
Remembrance of Earth's Past #3: Death's End,,Cixin Liu,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
On Such A Full Sea,,Chang-rae Lee,Fiction,No,,OWNED: Singapore,Finished: 2017,Yes,,No
A Little Life,,Hanya Yanagihara,Fiction,No,,OWNED: Singapore,Finished: 2016,Yes,,No
Normal People,,Sally Rooney,Fiction,No,,KINDLE,Finished: 2019,No,,No
Remembrance of Earth's Past #2: The Dark Forest,,Cixin Liu,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
The Fortress of Solitude,,Jonathan Lethem,Fiction,No,,OWNED: Philippines,Finished: 2017,Yes,,No
Dept. of Speculation,,Jenny Offill,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Invisible Planets: Contemporary Chinese Science Fiction in Translation,,Ken Liu,Fiction,Yes,,KINDLE,Finished: 2019,No,,No
The Conjugal Dictatorship of Ferdinand and Imelda Marcos,,Primitivo Mijares,Non-Fiction,No,,OWNED: Philippines,Finished: 2017,No,,No
The Golem and the Jinni,,Helene Wecker,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Essentialism: The Disciplined Pursuit of Less,,Greg McKeown,Non-Fiction,No,,OWNED: Philippines,Finished: 2015,No,,No
Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone,,Satya Nadella,Non-Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Remembrance of Earth's Past #1: The Three-Body Problem,,Cixin Liu,Fiction,No,,OWNED: Singapore,Finished: 2018,No,,No
The Inexplicable Logic Of My Life,,Benjamin Alire Sáenz,Young Adult,No,,OWNED: Philippines,Finished: 2017,No,,No
My Year of Rest and Relaxation,,Ottessa Moshfegh,Fiction,No,,KINDLE,Finished: 2019,No,,No
Tenth of December,,George Saunders,Fiction,Yes,,OWNED: Singapore,Finished: 2018,No,,No
The Tiger's Wife,,Téa Obreht,Fiction,No,,OWNED: Philippines,Finished: 2017,No,,No
Architects of Intelligence: The Truth about AI from the People Building it,,Martin Ford,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
"Superintelligence: Paths, Dangers, Strategies",,Nick Bostrom,Non-Fiction,No,,LIBRARY,Finished: 2018,No,,No
Private Citizens,,Tony Tulathimutte,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
Carry On,,Rainbow Rowell,Young Adult,No,,KINDLE,Finished: 2019,No,,No
Stories of Your Life And Others,,Ted Chiang,Fiction,Yes,,OWNED: Singapore,Finished: 2018,No,,No
The Road,,Cormac McCarthy,Fiction,No,,OWNED: Philippines,Finished: 2017,Yes,,No
Anything You Want: 40 Lessons for a New Kind of Entrepreneur,"https://www.amazon.com/Anything-You-Want-Lessons-Entrepreneur-ebook/dp/B00SI0B5FS, Reading%20List/51ltNXhyRUL.jpg",Derek Sivers,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
"Subversives: The FBI's War on Student Radicals, and Reagan's Rise to Power",,Seth Rosenfeld,Non-Fiction,No,,OWNED: Philippines,Finished: 2017,No,,No
Homeland,,Cory Doctorow,Fiction,No,,OWNED: Philippines,Finished: 2015,No,,No
Show Your Work!,,Austin Kleon,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Little Brother,,Cory Doctorow,Fiction,No,,OWNED: Philippines,Finished: 2015,No,,No
In The Country,,Mia Alvar,Fiction,Yes,,OWNED: Singapore,Finished: 2019,No,,No
The Rise and Fall of Great Powers,,Tom Rachman,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
A Song Of Ice And Fire #2: A Clash Of Kings,,George R.R. Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
The Future Is Asian,,Parag Khanna,Non-Fiction,No,,OWNED: Singapore,Finished: 2019,No,,No
Fahrenheit 451,,Ray Bradbury,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Strange Library,,Haruki Murakami,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Everything Is Obvious: How Common Sense Fails Us,,Duncan Watts,Non-Fiction,No,,EBOOK,Finished: 2015,No,,No
America Is Not The Heart,,Elaine Castillo,Fiction,No,,KINDLE,Finished: 2019,No,,No
Radical Markets: Uprooting Capitalism and Democracy for a Just Society,,Eric Glen Weyl and Eric A. Posner,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
The Old Man And The Sea,,Ernest Hemingway,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
A Song Of Ice And Fire #3: A Storm Of Swords,,George R.R. Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Severance,,Ling Ma,Fiction,No,,KINDLE,Finished: 2019,No,,No
The Stranger,,Albert Camus,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
Norwegian Wood,,Haruki Murakami,Fiction,No,,BORROWED,Finished: 2000-2014,Yes,,No
Becoming,,Michelle Obama,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
All The Light We Cannot See,,Anthony Doerr,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
A Song Of Ice And Fire #1: A Game Of Thrones,,George R.R. Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
"AI Superpowers: China, Silicon Valley, and the New World Order",,Kai-Fu Lee,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
The Song of Achilles,,Madeline Miller,Fiction,No,,KINDLE,Finished: 2019,No,,No
A Song Of Ice And Fire #4: A Feast For Crows,,George R.R. Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
The Metamorphosis,,Franz Kafka,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
On The Road,,Jack Kerouac,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Perks Of Being A Wallflower,,Stephen Chbosky,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Illustrated Man,,Ray Bradbury,Fiction,Yes,,OWNED: Philippines,Finished: 2000-2014,No,,No
A Visit From The Goon Squad,,Jennifer Egan,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Great Gatsby,,F. Scott Fitzgerald,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Hunger Games #1 :The Hunger Games,,Suzanne Collins,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Mayor's Tongue,,Nathaniel Rich,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Einstein's Dreams,,Alan Lightman,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Percy Jackson,,Rick Riordan,Young Adult,No,,,Finished: 2000-2014,No,,No
The Book Of Lies,,Brad Meltzer,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
River Of Heaven,,Lee Martin,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Harry Potter and the Sorcerer's Stone,,J.K Rowling,Young Adult,No,,BORROWED,Finished: 2000-2014,No,,No
Looking For Alaska,,John Green,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Harry Potter and the Chamber of Secrets,,J.K. Rowling,Young Adult,No,,BORROWED,Finished: 2000-2014,No,,No
Harry Potter and the Prisoner of Azkaban,,J.K Rowling,Young Adult,No,,BORROWED,Finished: 2000-2014,No,,No
Harry Potter and the Goblet of Fire,,J.K Rowling,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Harry Potter and the Order of the Phoenix,,J.K Rowling,Young Adult,No,,BORROWED,Finished: 2000-2014,No,,No
Harry Potter and the Half Blood Prince,,J.K Rowling,Young Adult,No,,BORROWED,Finished: 2000-2014,No,,No
Harry Potter and the Deathly Hallows,,J.K. Rowling,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Risk Intelligence: How to Live with Uncertainty: Dylan Evans: 9781451610918: Amazon.com: Books,,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/gp/product/1451610912/ref=as_li_qf_asin_il_tl?ie=UTF8&tag=farnamstreet-20&creative=9325&linkCode=as2&creativeASIN=1451610912&linkId=52c0732440e59a72b81a94fa252a8bb3,No
"The Meritocracy Trap: How America's Foundational Myth Feeds Inequality, Dismantles the Middle Class, and Devours the Elite: Daniel Markovits: 9780735221994: Amazon.com: Books",,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Meritocracy-Trap-Foundational-Inequality-Dismantles/dp/0735221995,No
The Talent Code: Greatness Isn't Born. It's Grown. Here's How.: Daniel Coyle: 8580001044958: Amazon.com: Books,,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/gp/product/055380684X/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=055380684X&linkCode=as2&tag=jamesclear-20&linkId=FQPZDBWIIX5P2MUF,No
Fight Club,,Chuck Palahniuk,Fiction,No,,EBOOK,Finished: 2000-2014,Yes,,No
Dear America: Notes of an Undocumented Citizen - Kindle edition by Jose Antonio Vargas. Politics & Social Sciences Kindle eBooks @ Amazon.com.,,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Dear-America-Notes-Undocumented-Citizen-ebook/dp/B0776TSKBJ,No
The Topeka School: A Novel: Ben Lerner: 9780374277789: Amazon.com: Books,,,,No,,,To Acquire: Fiction,No,https://www.amazon.com/Topeka-School-Novel-Ben-Lerner/dp/0374277788,No
Why You Like It: The Science and Culture of Musical Taste: Nolan Gasser: 9781250057198: Amazon.com: Books,,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Why-You-Like-Science-Culture/dp/1250057191,No
,,,,No,,,,No,,No
